"codigo";"sigla";"nome"
1;"SSP";"Secretaria de Seguranca Publica"
2;"MIN.AERONAUT";"Ministerio da Aeronautica"
3;"MIN.EXERCITO";"Ministerio do Exercito"
4;"MIN.MARINHA";"Ministerio da Marinha"
5;"PF-DPMAF";"Policia Federal (DPMAF - delegacia de Policia Maritima, Aerea e de Fronteira)"
6;"CRA";"Conselho Regional de Administracao"
7;"CRAS";"Conselho Regional de Assistencia Social"
8;"CRB";"COnselho Regional de Biblioteconomia"
9;"CRC";"COnselho Regional de Contabilidade"
10;"CRECI";"Conselho Regional de Corretores de Imoveis"
11;"CORECON";"Conselho Regional de Economia"
12;"COREN";"Conselho Regional de Enfermagem"
13;"CREA";"Conselho Regional de Engenharia, Arquitetura e Agronomia"
14;"CONRE";"Conselho Regional de Estatistica"
15;"CRF";"Conselho Regional de Farmacia"
16;"CREFITO";"Conselho Regional de Fisioterapia e Terapia Ocupacional"
17;"CRM";"Conselho Regional de Medicina"
18;"CRMV";"Conselho Regional de Medicina Veterinaria"
19;"OMBCRE";"Ordem dos Musicos do Brasil"
20;"CRN";"Conselho Regional de Nutricao"
21;"CRO";"Conselho Regional de Odontologia"
22;"CONRERP";"Conselho Regional de Profissionais de Relacoes Publicas"
23;"CRP";"Conselho Regional de Psicologia"
24;"CRQ";"Conselho Regional de Quimica"
25;"CORE";"Conselho Regional de Representantes Comerciais"
26;"OAB";"Ordem dos Advogados do Brasil"
27;"CRBIO";"Conselho Regional de Biologia"
28;"CRFA";"Conselho Regional de Fonoaudiologia"
29;"CORESS";"Conselho Regional de Servico Social"
30;"CRTR";"Conselho Regional de Tecnicos em Radiologia"
31;"DETRAN";"Departamento de Transito"
32;"PM";"Policia Militar"
33;"CBM";"Corpo de Bombeiros"
34;"IBA";"Instituto Brasileiro de Atuarios"
99;"OUTROS";"Outros"
